name,place,type,rating,votes,noOfReviews,url,page,Cuisines:,Cost for two:,Hours:,Discount:,Featured in:,Freebie:,Today:,Special:,Promotions:,Upcoming:
Al Saba Restaurant,Yousufguda,Casual Dining,-,,2 reviews,https://www.zomato.com/hyderabad/al-saba-restaurant-yousufguda,74,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",₹750,12 Noon to 11 PM (Mon-Sun),,,,,,,
Krishna Food Point,Mehdipatnam,Quick Bites,3.3,16 votes,11 reviews,https://www.zomato.com/hyderabad/krishna-food-point-mehdipatnam,74,Andhra,₹250,11 AM to 11 PM (Mon-Sun),,,,,,,
Hare And Hound - Amrutha Castle,"Amrutha Castle, Khairatabad",Bar,3.2,13 votes,4 reviews,https://www.zomato.com/hyderabad/hare-and-hound-amrutha-castle-khairatabad,74,"Finger Food, Beverages","₹1,600",11 AM to 10 PM (Mon-Sun),,,,,,,
Chusske Express Ice Gola & Pop Corn,"Eat Street, Necklace Road",Kiosk,3.1,7 votes,5 reviews,https://www.zomato.com/hyderabad/chusske-express-ice-gola-pop-corn-necklace-road,74,Street Food,₹150,2 PM to 11 PM (Mon-Sun),,,,,,,
MRCB,Kondapur,Quick Bites,2.9,13 votes,11 reviews,https://www.zomato.com/hyderabad/mrcb-kondapur,74,Andhra,₹400,6 AM to 11 PM (Mon-Sun),,,,,,,
Hotel Ramser,Marredpally,Casual Dining,3.1,9 votes,5 reviews,https://www.zomato.com/hyderabad/hotel-ramser-marredpally-secunderabad,74,"Street Food, Chinese, North Indian",₹300,5 AM to 11 PM (Mon-Sun),,,,,,,
Amore Gourmet Gelato,"GVK One Mall, Banjara Hills",Dessert Parlor,2.6,24 votes,9 reviews,https://www.zomato.com/hyderabad/amore-gourmet-gelato-banjara-hills,74,"Ice Cream, Desserts",₹250,10 AM to 12 Midnight (Mon-Sun),,,,,,,
Sohi's Kitchen,Kukatpally,,2.7,10 votes,9 reviews,https://www.zomato.com/hyderabad/sohis-kitchen-kukatpally,74,"North Indian, Chinese, Biryani",₹850,11 AM to 11 PM (Mon-Sun),,,,,,,
Quba Bakery,Mehdipatnam,BakeryDessert Parlor,3.3,12 votes,5 reviews,https://www.zomato.com/hyderabad/quba-bakery-mehdipatnam,74,"Bakery, Desserts",₹100,11 AM to 10 PM (Mon-Sun),,,,,,,
Kolkata Chef House,Kukatpally,Quick Bites,2.8,13 votes,8 reviews,https://www.zomato.com/hyderabad/kolkata-chef-house-kukatpally,74,"Street Food, Chinese",₹400,10 AM to 11 PM (Mon-Sun),,,,,,,
Fabson Chat & Ice Cream,Manikonda,Dessert ParlorQuick Bites,3.2,21 votes,9 reviews,https://www.zomato.com/hyderabad/fabson-chat-ice-cream-manikonda,74,"Ice Cream, Desserts, Street Food",₹250,12 Noon to 1:30 AM (Mon-Sun),,,,,,,
Chatories,Mehdipatnam,Quick Bites,2.9,13 votes,5 reviews,https://www.zomato.com/hyderabad/chatories-mehdipatnam,74,Street Food,₹150,10 AM to 11 PM (Mon-Sun),,,,,,,
Rahmeth Hotel,Tolichowki,Quick Bites,3.0,9 votes,4 reviews,https://www.zomato.com/hyderabad/rahmeth-hotel-tolichowki,74,"Street Food, Hyderabadi",₹100,7 AM to 11 PM (Mon-Sun),,,,,,,
Chen Wong Chinese Cafe,Tarnaka,Quick Bites,3.1,9 votes,6 reviews,https://www.zomato.com/hyderabad/chen-wong-chinese-cafe-tarnaka,74,Chinese,₹600,12 Noon to 10:30 PM (Mon-Sun),,,,,,,
Aishwarya Grand Restaurant,Jeedimetla,Casual Dining,3.1,13 votes,10 reviews,https://www.zomato.com/hyderabad/aishwarya-grand-restaurant-jeedimetla,74,"North Indian, Chinese",₹850,11 AM to 11 PM (Mon-Sun),,,,,,,
Hotel Hyderabad,Chanda Nagar,Quick Bites,3.3,15 votes,10 reviews,https://www.zomato.com/hyderabad/hotel-hyderabad-chanda-nagar,74,Biryani,₹200,11:30 AM to 11 PM (Mon-Sun),,,,,,,
