name,place,type,rating,votes,noOfReviews,url,page,Cuisines:,Cost for two:,Hours:,Discount:,Featured in:,Freebie:,Today:,Special:,Promotions:,Upcoming:
Ram Ki Bandi,Nampally,Quick Bites,4.1,1486 votes,593 reviews,https://www.zomato.com/hyderabad/ram-ki-bandi-nampally,7,South Indian,₹150,3 AM to 8 AM (Mon-Sun),,"Street food, Great breakfasts",,,,,
KFC,Hitech City,Quick Bites,3.6,222 votes,111 reviews,https://www.zomato.com/hyderabad/kfc-hitech-city,7,"American, Fast Food",₹450,11 AM to 10:25 PM (Mon-Sun),,,,,,,
Santosh Dhaba Exclusive,Abids,Casual Dining,4.1,488 votes,207 reviews,https://www.zomato.com/hyderabad/santosh-dhaba-exclusive-abids,7,"North Indian, Chinese",₹450,11 AM to 1 AM (Mon-Sun),,"Pocket friendly, Veggie friendly",,,,,
Chinese Pavilion,Banjara Hills,Casual Dining,4.2,330 votes,140 reviews,https://www.zomato.com/hyderabad/chinese-pavilion-banjara-hills,7,"Chinese, Seafood","₹1,400","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Oh So Stoned!,Karkhana,Dessert Parlor,4.2,441 votes,233 reviews,https://www.zomato.com/hyderabad/oh-so-stoned-karkhana-secunderabad,7,"Ice Cream, Desserts",₹350,11 AM to 12 Midnight (Mon-Sun),,Frozen delights,,,,,
King And Cardinal Bakery,Himayath Nagar,Bakery,4.1,438 votes,177 reviews,https://www.zomato.com/hyderabad/king-and-cardinal-bakery-himayath-nagar,7,"Bakery, Fast Food, Desserts",₹350,8 AM to 10:30 PM (Mon-Sun),,Best bakeries,,,,,
Cafe Eclat,Gachibowli,CaféBakery,4.1,145 votes,114 reviews,https://www.zomato.com/hyderabad/cafe-eclat-gachibowli,7,"Cafe, Bakery",₹700,8 AM to 11:30 PM (Mon-Sun),,,,,,,
Eagle Boys Pizza,Hitech City,Casual Dining,2.6,267 votes,158 reviews,https://www.zomato.com/hyderabad/eagle-boys-pizza-hitech-city,7,Pizza,₹550,11 AM to 11 PM (Mon-Sun),,,Buy One Get One Free! on Wednesday and Friday! Order now! BOGO available everyday - order from Zomato!,,,,
Water,Banjara Hills,Casual Dining,3.4,354 votes,188 reviews,https://www.zomato.com/hyderabad/water-banjara-hills,7,"Continental, Thai, North Indian","₹1,200",10 AM to 2:30 AM (Mon-Sun),,,,,,,
Ohri's Jiva Imperia,Begumpet,Casual Dining,3.9,607 votes,272 reviews,https://www.zomato.com/hyderabad/ohris-jiva-imperia-begumpet,7,"Continental, Gujarati, North Indian, Italian, Rajasthani",₹800,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Karampodi,Film Nagar,Casual Dining,3.7,117 votes,97 reviews,https://www.zomato.com/hyderabad/karampodi-film-nagar,8,South Indian,₹800,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Fri),7:30 AM...",Get 15% off all home-delivery orders above Rs. 300. Valid only when you order online on Zomato.,,,,,,
Cafe' Reboot,Madhapur,Casual DiningBar,3.9,300 votes,194 reviews,https://www.zomato.com/hyderabad/cafe-reboot-madhapur,8,"North Indian, Continental, Chinese",₹600,"11 AM to 11:30 PM (Mon-Sat),9:30 AM to 11:30 PM (Sun)",,,,,,,
Sahib Sindh Sultan,"City Center Mall, Banjara Hills",Casual Dining,3.8,1491 votes,714 reviews,https://www.zomato.com/hyderabad/sahib-sindh-sultan-banjara-hills,8,"Mughlai, North Indian","₹1,400","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,Regional favorites,,,,,
Adaa - Taj Falaknuma Palace,"Taj Falaknuma, Falaknuma",Fine Dining,4.7,450 votes,190 reviews,https://www.zomato.com/hyderabad/adaa-taj-falaknuma-palace-falaknuma,8,Hyderabadi,"₹7,300","12:30 PM to 2:30 PM, 7:30 PM to 10:45 PM (Mon-Sun)",,,,,,,
Churrolto,Madhapur,Dessert ParlorCafé,4.4,138 votes,106 reviews,https://www.zomato.com/hyderabad/churrolto-madhapur,8,"Desserts, Cafe, Mexican",₹300,"Closed (Mon),11 AM to 12 Midnight (Tue-Sun)",,,,,,,
Wich Please,Gachibowli,Kiosk,3.8,512 votes,229 reviews,https://www.zomato.com/hyderabad/wich-please-gachibowli,8,Fast Food,₹250,11 AM to 10 PM (Mon-Sun),,Pocket friendly,,,,,
Angaara Restaurant,Miyapur,Casual Dining,3.5,261 votes,156 reviews,https://www.zomato.com/hyderabad/angaara-restaurant-miyapur,8,"North Indian, Biryani, Chinese",₹750,12 Noon to 11 PM (Mon-Sun),,,,,,,
Kim Fung,Tarnaka,Casual Dining,4.3,781 votes,364 reviews,https://www.zomato.com/hyderabad/kim-fung-tarnaka,8,Chinese,₹550,"Closed (Mon),12:30 PM to 3:30 PM, 6:30 PM to 10:30...",,Pan-Asian delicacies,,,,,
Chicha's,Masab Tank,Casual Dining,3.6,154 votes,121 reviews,https://www.zomato.com/hyderabad/chichas-masab-tank,8,Hyderabadi,₹700,"12 Midnight to 2 AM, 12:30 PM to 12 Midnight...",,,,,,,
Blanc Glace,Hitech City,CaféBakery,3.8,51 votes,38 reviews,https://www.zomato.com/hyderabad/blanc-glace-hitech-city,8,"Cafe, Bakery, Desserts, Pizza, Tea",₹750,7 AM to 11 PM (Mon-Sun),,,,,,,
Dadu's Purani Dilli,Jubilee Hills,Casual Dining,3.7,161 votes,93 reviews,https://www.zomato.com/hyderabad/dadus-purani-dilli-jubilee-hills,8,"North Indian, South Indian, Italian, Chinese",₹550,10 AM to 11 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,Veggie friendly,,,,,
Sri Kanya,Panjagutta,Quick Bites,4.0,244 votes,107 reviews,https://www.zomato.com/hyderabad/sri-kanya-panjagutta,8,Andhra,₹400,"11 AM to 3:30 PM, 6:30 PM to 11 PM (Mon-Sun)",,,,,,,
CIBO house,Hitech City,Casual Dining,4.1,729 votes,439 reviews,https://www.zomato.com/hyderabad/cibo-house-hitech-city,8,"Continental, Italian","₹1,200","12 Noon to 4 PM, 7 PM to 11:30 PM (Mon-Sun)",,Great Italian,,,,,
The Hunan Spice Chinese Restaurant,Gachibowli,Casual Dining,2.8,274 votes,141 reviews,https://www.zomato.com/hyderabad/the-hunan-spice-chinese-restaurant-gachibowli,8,Chinese,₹750,"11 AM to 3 PM, 6 PM to 10:30 PM (Mon-Sun)",Get 15% off all home-delivery orders above Rs. 250. Maximum discount up to Rs. 150. Valid only when you order online on Zomato.,,,,,,
Sizzling Grillz,Kondapur,Casual Dining,3.5,321 votes,201 reviews,https://www.zomato.com/hyderabad/sizzling-grillz-kondapur,8,"North Indian, Mexican, Continental","₹1,400","12 Noon to 3:30 PM, 7:30 PM to 11 PM (Mon-Sun)",,,,,,,
Beach House,Madhapur,Casual DiningBar,3.5,886 votes,413 reviews,https://www.zomato.com/hyderabad/beach-house-madhapur,8,"Chinese, North Indian, Continental, Seafood","₹1,200",11:30 AM to 11:30 PM (Mon-Sun),,"Beer in a bar, Football screenings",,,,,
7 Biryanis by Kuchipudi,Gachibowli,Casual Dining,2.3,183 votes,135 reviews,https://www.zomato.com/hyderabad/7-biryanis-by-kuchipudi-gachibowli,8,"Andhra, South Indian",₹500,"12 Noon to 4 PM, 7 PM to 11 PM (Mon-Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Pi - Hotel Avasa,"Hotel Avasa, Hitech City",Fine Dining,3.9,483 votes,227 reviews,https://www.zomato.com/hyderabad/pi-hotel-avasa-hitech-city,8,"North Indian, Continental, Asian, Chinese","₹2,000","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,Sunday brunches,,,,,
The Hyderabad Times Cafe,Jubilee Hills,Café,3.5,355 votes,167 reviews,https://www.zomato.com/hyderabad/the-hyderabad-times-cafe-jubilee-hills,8,"Cafe, North Indian, Chinese, Continental",₹850,11 AM to 12 Midnight (Mon-Sun),,Sheesha lounges,,,,,
Menchie's Frozen Yogurt,Jubilee Hills,Dessert Parlor,4.1,767 votes,335 reviews,https://www.zomato.com/hyderabad/menchies-frozen-yogurt-jubilee-hills,8,Desserts,₹400,11 AM to 12:30 AM (Mon-Sun),,Frozen delights,,,,,
TiKi Shack - Rooftop Bar,Jubilee Hills,Casual DiningBar,3.8,299 votes,212 reviews,https://www.zomato.com/hyderabad/tiki-shack-rooftop-bar-jubilee-hills,8,"Finger Food, Continental",₹850,12 Noon to 12 Midnight (Mon-Sun),,Rooftops,,,,,
Chutneys,"Inorbit Mall, Hitech City",Casual Dining,3.9,933 votes,514 reviews,https://www.zomato.com/hyderabad/chutneys-hitech-city,8,"South Indian, North Indian, Chinese",₹900,12 Noon to 10 PM (Mon-Sun),,Great breakfasts,,,,,
Grill Inn,Madhapur,Quick BitesFood Court,2.8,439 votes,212 reviews,https://www.zomato.com/hyderabad/grill-inn-madhapur,8,"Fast Food, Burger",₹350,"11 AM to 1 AM (Mon, Tue, Thu, Fri, Sat, Sun), 11 AM...",,,,,,,
Jai Santosh Family Dhaba,Kondapur,Casual Dining,3.6,159 votes,93 reviews,https://www.zomato.com/hyderabad/jai-santosh-family-dhaba-kondapur,8,"North Indian, Chinese",₹500,12:30 PM to 11:30 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,Veggie friendly,,,,,
Country Oven,Madhapur,BakeryQuick Bites,2.6,164 votes,86 reviews,https://www.zomato.com/hyderabad/country-oven-madhapur,8,"Bakery, Fast Food, Desserts",₹500,10 AM to 10 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Over The Moon,Jubilee Hills,Lounge,4.0,1131 votes,411 reviews,https://www.zomato.com/hyderabad/over-the-moon-jubilee-hills,8,"Continental, North Indian, Italian, Asian","₹2,500",4 PM to 1 AM (Mon-Sun),,"Rooftops, Football screenings, Best bars & pubs",,,,,
Burger King,"GVK One Mall, Banjara Hills",Quick Bites,3.7,145 votes,99 reviews,https://www.zomato.com/hyderabad/burger-king-banjara-hills,8,"Fast Food, American",₹500,10 AM to 11 PM (Mon-Sun),Get 15% off on all home-delivery orders above Rs. 299. Valid only when you order online on Zomato.,,,,,,
Grill 9,Karkhana,Casual Dining,3.6,285 votes,171 reviews,https://www.zomato.com/hyderabad/grill-9-1-karkhana-secunderabad,8,"North Indian, Chinese, Biryani",₹500,11 AM to 11 PM (Mon-Sun),,Mandi,,,,,
Starbucks,Jubilee Hills,Café,4.1,911 votes,376 reviews,https://www.zomato.com/hyderabad/starbucks-jubilee-hills,8,Cafe,₹650,7 AM to 10:30 PM (Mon-Sun),,,,,Welcome Happy Mornings with our select breakfast items and get 25% off on your beverage between 7 am to 12 noon! T&C apply,,
Ohri's Eatmor 70mm,"Ohri's, Necklace Road",Casual Dining,3.6,786 votes,369 reviews,https://www.zomato.com/hyderabad/ohris-eatmor-70mm-necklace-road,8,"Chinese, Continental, North Indian, Thai","₹1,500","12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)",,,,,,,
Ohri's Eatmor 70mm,"Ohri's, Necklace Road",Casual Dining,3.6,786 votes,369 reviews,https://www.zomato.com/hyderabad/ohris-eatmor-70mm-necklace-road,9,"Chinese, Continental, North Indian, Thai","₹1,500","12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)",,,,,,,
News Cafe,"Inorbit Mall, Hitech City",PubCasual Dining,3.7,747 votes,346 reviews,https://www.zomato.com/hyderabad/news-cafe-hitech-city,9,"Continental, Italian, American","₹1,800",11:30 AM to 11:30 PM (Mon-Sun),,"Rooftops, Best bars & pubs",,,,,
Fusion 9,Banjara Hills,Fine Dining,4.1,354 votes,152 reviews,https://www.zomato.com/hyderabad/fusion-9-banjara-hills,9,"Continental, Italian, North Indian, Asian","₹1,800","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,"Sunday brunches, Great Italian, Pan-Asian delicacies",,,,,
The Original Shawarma,Kondapur,Casual Dining,3.6,241 votes,163 reviews,https://www.zomato.com/hyderabad/the-original-shawarma-kondapur,9,Lebanese,₹700,"1 PM to 11:30 PM (Mon-Fri),12 Midnight to 2:30 AM, 1...",,,,,,,
Dialogue in the Dark,"Inorbit Mall, Hitech City",Casual Dining,4.5,609 votes,333 reviews,https://www.zomato.com/hyderabad/dialogue-in-the-dark-hitech-city,9,North Indian,"₹1,300","12:30 PM to 3:30 PM, 7:30 PM to 9:30 PM...",,,,,,,
The Pasta Bar Veneto,Jubilee Hills,Casual Dining,,,709 reviews,https://www.zomato.com/hyderabad/the-pasta-bar-veneto-jubilee-hills,9,Italian,"₹1,050",,,Great Italian,,,,15% off on Axis Bank Credit & Debit Cards   [T&C],
Rush Sports Bar & Bowling,Hitech City,Bar,2.7,625 votes,241 reviews,https://www.zomato.com/hyderabad/rush-sports-bar-bowling-hitech-city,9,"North Indian, Chinese, Italian","₹1,400",11 AM to 11:30 PM (Mon-Sun),,,,,,Save 15% on ICICI Bank Credit & Debit Cards   [T&C],
Oh So Stoned!,Madhapur,Dessert Parlor,4.4,196 votes,145 reviews,https://www.zomato.com/hyderabad/oh-so-stoned-madhapur,9,"Cafe, Desserts, Ice Cream",₹350,11:30 AM to 1 AM (Mon-Sun),,,,,,,
Urban Grill,Banjara Hills,CaféCasual Dining,3.4,284 votes,150 reviews,https://www.zomato.com/hyderabad/urban-grill-banjara-hills,9,"Cafe, Mughlai, Biryani, North Indian",₹900,"10 AM to 12 Midnight (Mon-Thu),9 AM to 12 Midnight...",,,,,,,
78 East Restaurant,Habsiguda,Casual Dining,2.9,380 votes,166 reviews,https://www.zomato.com/hyderabad/78-east-restaurant-habsiguda,9,"Hyderabadi, North Indian, Chinese",₹750,"12:30 PM to 3:30 PM, 7:30 PM to 11 PM (Mon-Sun)",,,,,,,
Siddique Kabab Centre,Kondapur,Casual Dining,4.2,919 votes,400 reviews,https://www.zomato.com/hyderabad/siddique-kabab-centre-kondapur,9,"North Indian, Mughlai",₹350,6 PM to 10:30 PM (Mon-Sun),,Barbecue & grill,,,,,
Dunkin Donuts,"SLN Terminus,Gachibowli",Quick BitesDessert Parlor,3.8,146 votes,114 reviews,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,9,"Desserts, Burger",₹550,9 AM to 11 PM (Mon-Sun),,,,,,,
Junior Kuppanna,Hitech City,Casual Dining,2.9,128 votes,106 reviews,https://www.zomato.com/hyderabad/junior-kuppanna-hitech-city,9,"South Indian, Biryani",₹650,"12 Noon to 4 PM, 6:30 PM to 11 PM (Mon-Sun)",,,,,,,
Eagle Boys Pizza,Begumpet,Quick Bites,3.7,253 votes,145 reviews,https://www.zomato.com/hyderabad/eagle-boys-pizza-begumpet,9,Pizza,₹550,10 AM to 11 PM (Mon-Sun),,,,,,,
Ram's Dosa House,Banjara Hills,Quick Bites,2.4,312 votes,191 reviews,https://www.zomato.com/hyderabad/rams-dosa-house-banjara-hills,9,South Indian,₹250,7 AM to 11 PM (Mon-Sun),,,,,,,
Food Inn,Kondapur,Casual Dining,2.2,238 votes,125 reviews,https://www.zomato.com/hyderabad/food-inn-kondapur,9,"North Indian, Chinese, Biryani",₹500,11 AM to 11 PM (Mon-Sun),,,,,,,
Qube Cafe - Hotel Siesta,"Hotel Siesta, Kothaguda",Casual Dining,3.7,155 votes,117 reviews,https://www.zomato.com/hyderabad/qube-cafe-hotel-siesta-kondapur,9,"North Indian, Continental, South Indian","₹1,000",24 Hours (Mon-Sun),,,,,,,
Blue Bottle Cafe,"Accor Blue, Madhapur",Café,3.5,397 votes,262 reviews,https://www.zomato.com/hyderabad/blue-bottle-cafe-madhapur,9,"Cafe, Italian, Chinese",₹750,10:30 AM to 11 PM (Mon-Sun),,Sheesha lounges,,,Sit back and enjoy the gentle humming of Hookah pipe along with a round of complimentary drink for just rupees 449/- *Conditions apply.,,
Alpha Hotel,Railway Station Road,Casual Dining,3.9,771 votes,334 reviews,https://www.zomato.com/hyderabad/alpha-hotel-railway-station-road-secunderabad,9,"North Indian, Biryani, Street Food",₹250,5 AM to 12 Midnight (Mon-Sun),,"Legendary outlets, Brilliant biryanis",,,,,
Bottles & Chimney,Begumpet,Lounge,3.8,674 votes,202 reviews,https://www.zomato.com/hyderabad/bottles-chimney-begumpet,9,"Chinese, Continental, North Indian","₹2,500",12 Noon to 12 Midnight (Mon-Sun),,"Football screenings, Best bars & pubs",,,,,
Ohri's Chowpatti,Banjara Hills,Quick Bites,3.5,159 votes,60 reviews,https://www.zomato.com/hyderabad/ohris-chowpatti-banjara-hills,9,Street Food,₹200,1 PM to 11:30 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Papa John's Pizza,"SBR Gateway, Hitech City",Quick Bites,2.1,198 votes,110 reviews,https://www.zomato.com/hyderabad/papa-johns-pizza-hitech-city,9,"Pizza, Fast Food",₹750,11 AM to 11 PM (Mon-Sun),Get 25% off on all home-delivery orders above Rs. 300. Valid only when you order online on Zomato,,,Offers and Deals,,,
Al Saba Restaurant,Gachibowli,Casual Dining,2.4,329 votes,180 reviews,https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli,9,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",₹750,6 AM to 11 PM (Mon-Sun),,,,,,,
Hitec Nanking,Madhapur,Casual Dining,3.6,259 votes,192 reviews,https://www.zomato.com/hyderabad/hitec-nanking-madhapur,9,Chinese,₹800,"11:30 AM to 3:30 PM, 6:30 PM to 10:30 PM (Mon-Sun)",,,,,,,
Yours Truly,Jubilee Hills,Casual Dining,3.9,101 votes,68 reviews,https://www.zomato.com/hyderabad/yours-truly-jubilee-hills,9,"North Indian, South Indian",₹500,"11:30 AM to 4 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Flavours Of TMH - Taj Mahal Hotel,"Taj Mahal Hotel, Jubilee Hills",Casual Dining,3.9,195 votes,129 reviews,https://www.zomato.com/hyderabad/flavours-of-tmh-taj-mahal-hotel-jubilee-hills,9,"North Indian, Chinese, South Indian, Continental",₹900,8 AM to 11 PM (Mon-Sun),,"Veggie friendly, Great breakfasts",,,,,
Sri Kanya Comfort,Somajiguda,Casual Dining,3.7,221 votes,135 reviews,https://www.zomato.com/hyderabad/sri-kanya-comfort-somajiguda,9,"Andhra, North Indian, Chinese",₹800,"12 Noon to 4 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
BLOCK 22,Hitech City,Club,4.1,38 votes,30 reviews,https://www.zomato.com/hyderabad/block-22-hitech-city,9,"Continental, North Indian, Asian","₹2,400","Closed (Mon-Tue),7 PM to 12:30 AM (Wed-Sun)",,,,,,,
Deli 9,Banjara Hills,CaféDessert Parlor,3.8,261 votes,138 reviews,https://www.zomato.com/hyderabad/deli-9-banjara-hills,9,"Cafe, Continental, Desserts",₹700,9 AM to 10:30 PM (Mon-Sun),,Diwali Specials,,,,,
Blue Tree,Kukatpally,Casual Dining,3.1,231 votes,162 reviews,https://www.zomato.com/hyderabad/blue-tree-kukatpally,9,"Chinese, North Indian, Fast Food","₹1,200",11 AM to 11 PM (Mon-Sun),,,,,Dinner special: Authentic south indian pulaos and hyderabadi dum biryani. Vegetarian for Rs.139+taxes and Chicken for Rs.189+taxes.,"15% off on Axis Bank Credit & Debit Cards   [T&C]
                                                    
                                                                                                                                                                    
                                                                                                                        
                                                                                                                                                                                                                                                                                     
                                                                            
                                                    Save 15% on ICICI Bank Credit & Debit Cards   [T&C]",
SKYHY,Gachibowli,Casual DiningLounge,3.7,413 votes,283 reviews,https://www.zomato.com/hyderabad/skyhy-gachibowli,10,"North Indian, Chinese, Continental","₹1,250",2 PM to 12 Midnight (Mon-Sun),,"Rooftops, Karaoke bars",,RETRO NIGHT,,,
Whiteboard Cafe,Hitech City,Café,3.9,134 votes,93 reviews,https://www.zomato.com/whiteboardcafe,10,Cafe,₹600,8 AM to 10 PM (Mon-Sun),Get 15% off all home-delivery. Valid only when you order online on Zomato.,"Veggie friendly, Great breakfasts",,,,,
Club8,Begumpet,Bar,3.5,765 votes,260 reviews,https://www.zomato.com/hyderabad/club8-begumpet,10,"Finger Food, North Indian, Chinese",₹800,12 Noon to 11 PM (Mon-Sun),,,,,,,
Subway,Kondapur,Quick Bites,2.5,162 votes,75 reviews,https://www.zomato.com/hyderabad/subway-2-kondapur,10,"Healthy Food, Salad",₹450,24 Hours (Mon-Sun),,,,,,,
The Grove - Sky Bar,Banjara Hills,Casual Dining,3.5,301 votes,164 reviews,https://www.zomato.com/hyderabad/the-grove-sky-bar-banjara-hills,10,"North Indian, Chinese, Continental","₹1,200",10 AM to 12 Midnight (Mon-Sun),,Rooftops,,,,,
Tiny Village,Kondapur,Casual Dining,2.1,382 votes,249 reviews,https://www.zomato.com/hyderabad/tiny-village-kondapur,10,"North Indian, Mughlai, Chinese",₹800,"12:30 PM to 3:30 PM, 7 PM to 10:30 PM (Mon-Sun)",,,,,,,
Nawabi Palate,Somajiguda,Casual Dining,2.4,228 votes,156 reviews,https://www.zomato.com/hyderabad/nawabi-palate-somajiguda,10,"North Indian, Chinese, Biryani",₹800,11:30 AM to 11:30 PM (Mon-Sun),Get 15% off all home-delivery orders above Rs. 200. Valid only when you order online on Zomato.,,,,,,
The Buffet,"GVK One Mall, Banjara Hills",Casual Dining,3.3,509 votes,233 reviews,https://www.zomato.com/hyderabad/the-buffet-banjara-hills,10,"North Indian, Chinese, Italian, Thai, Continental","₹1,350","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Dunkin Donuts,Banjara Hills,Quick BitesDessert Parlor,3.5,277 votes,182 reviews,https://www.zomato.com/hyderabad/dunkin-donuts-banjara-hills,10,"Desserts, Burger",₹550,9 AM to 11 PM (Mon-Sun),,,,,,,
MOB,Film Nagar,LoungeBar,4.1,600 votes,268 reviews,https://www.zomato.com/hyderabad/mob-film-nagar,10,Finger Food,"₹2,600",12 Noon to 12 Midnight (Mon-Sun),,,,,,Save 15% on ICICI Bank Credit & Debit Cards   [T&C],
Rayalaseema Ruchulu,Ameerpet,Casual Dining,3.7,219 votes,119 reviews,https://www.zomato.com/hyderabad/rayalaseema-ruchulu-1-ameerpet,10,"Andhra, South Indian, Biryani",₹950,"12 Noon to 4 PM, 7 PM to 11 PM (Mon-Sun)",Get 20% off all home-delivery. Valid only when you order online on Zomato.,"Regional favorites, Terrific thalis, Brilliant biryanis",,,,,
Kismet - The Park,"The Park, Somajiguda",LoungeClub,3.8,537 votes,193 reviews,https://www.zomato.com/hyderabad/kismet-the-park-somajiguda,10,Finger Food,"₹2,400","Closed (Mon-Tue),8 PM to 12 Midnight (Wed-Sun)",,Best bars & pubs,,The Biggest Mongol HALLOWEEN...!,,,
Kerala Kitchen,Kondapur,Casual Dining,2.2,242 votes,136 reviews,https://www.zomato.com/hyderabad/kerala-kitchen-kondapur,10,"Kerala, North Indian, Chinese",₹700,"12 Noon to 4 PM, 6 PM to 10:30 PM (Mon-Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Kitchen Off Kuchipudi,Madhapur,Casual Dining,3.2,312 votes,190 reviews,https://www.zomato.com/hyderabad/kitchen-off-kuchipudi-madhapur,10,"Andhra, North Indian",₹800,"12 Noon to 4 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Chilax Cafe Lounge,Banjara Hills,Café,3.8,258 votes,151 reviews,https://www.zomato.com/hyderabad/chilax-cafe-lounge-banjara-hills,10,"Cafe, Continental, North Indian, Chinese",₹900,"9 AM to 2 AM (Mon-Thu),9 AM to 3 AM (Fri-Sun)",,,,,,,
Indijoe,"City Center Mall, Banjara Hills",Casual Dining,3.6,1194 votes,444 reviews,https://www.zomato.com/hyderabad/indijoe-banjara-hills,10,"Italian, American, Mexican","₹1,500","12 Noon to 3:30 PM, 7 PM to 10:30 PM (Mon-Sun)",,,,,,,
Cafe Graffiti,Banjara Hills,Café,4.0,195 votes,111 reviews,https://www.zomato.com/hyderabad/cafe-graffiti-banjara-hills,10,Cafe,₹500,11 AM to 12 Midnight (Mon-Sun),,,,,,,
Alex's Kitchen,Himayath Nagar,Casual Dining,3.6,596 votes,281 reviews,https://www.zomato.com/hyderabad/alexs-kitchen-himayath-nagar,10,Chinese,₹600,"12 Noon to 3:30 PM, 7 PM to 10:30 PM (Mon-Sun)",,,,,,,
Rayalaseema Ruchulu,Lakdikapul,Casual Dining,3.4,213 votes,121 reviews,https://www.zomato.com/hyderabad/rayalaseema-ruchulu-lakdikapul,10,"Andhra, South Indian, Biryani",₹950,"12 Noon to 4 PM, 7 PM to 11 PM (Mon-Sun)",Get 20% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Mekong - Marigold Hotel,Marigold Hotel,Fine Dining,4.6,565 votes,262 reviews,https://www.zomato.com/hyderabad/mekong-marigold-hotel-begumpet,10,"Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese","₹2,200","12 Noon to 3 PM, 7 PM to 11 PM (Mon-Sun)",,"Sunday brunches, Pan-Asian delicacies",,,,,
Vac's Pastries,Karkhana,BakeryDessert Parlor,4.3,584 votes,229 reviews,https://www.zomato.com/hyderabad/vacs-pastries-karkhana-secunderabad,10,"Bakery, Fast Food, Desserts",₹400,9:30 AM to 10:30 PM (Mon-Sun),,Best bakeries,,,,,
Chung Hua Restaurant,PG Road,Casual Dining,3.8,265 votes,150 reviews,https://www.zomato.com/hyderabad/chung-hua-restaurant-pg-road-secunderabad,10,Chinese,₹700,11 AM to 10:45 PM (Mon-Sun),,,,,,,
Up The Bistro,Gachibowli,CaféCasual Dining,3.8,163 votes,125 reviews,https://www.zomato.com/hyderabad/up-the-bistro-gachibowli,10,"Cafe, Continental, North Indian","₹1,000",11 AM to 1 AM (Mon-Sun),,,,,,,
Rock Castle,Banjara Hills,Casual Dining,3.7,294 votes,162 reviews,https://www.zomato.com/hyderabad/rock-castle-banjara-hills,10,"Mughlai, Chinese, North Indian",₹700,"12 Noon to 3 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Hoppipola,Hitech City,Lounge,4.1,135 votes,102 reviews,https://www.zomato.com/hyderabad/hoppipola-hitech-city,10,"Continental, Mediterranean","₹1,200",12:30 PM to 11 PM (Mon-Sun),,,,,,,
Mayur Pan House,Abids,Quick Bites,4.1,253 votes,115 reviews,https://www.zomato.com/hyderabad/mayur-pan-house-abids,10,"Street Food, Juices",₹300,10 AM to 11 PM (Mon-Sun),,Street food,,,,,
Pizza Den,Paradise Circle,Quick Bites,4.4,791 votes,327 reviews,https://www.zomato.com/hyderabad/pizza-den-paradise-circle-secunderabad,10,"Pizza, Ice Cream, Desserts",₹400,5 PM to 10 PM (Mon-Sun),,,,,,,
TGI Fridays,"RK Cineplex, Banjara Hills",BarCasual Dining,,,434 reviews,https://www.zomato.com/hyderabad/tgi-fridays-1-banjara-hills,10,"American, Mexican","₹2,000",,,,,,,"15% off on Axis Bank Credit & Debit Cards   [T&C]
                                                    
                                                                                                                                                                    
                                                                                                                        
                                                                                                                                                                                                                                                                                     
                                                                            
                                                    Save 15% on ICICI Bank Credit & Debit Cards   [T&C]",
V Junction Global Eatery,Banjara Hills,Casual Dining,3.9,61 votes,52 reviews,https://www.zomato.com/hyderabad/v-junction-global-eatery-banjara-hills,10,"North Indian, Italian, Continental, Japanese","₹1,600",12:30 PM to 12 Midnight (Mon-Sun),,Happy hours,,,Get 30% off on your liquor bill between 3:30 pm to 8 pm.,,
